day,ell_30,ell_50,ell_75
0,0.5593,0.5593,0.7500
1,0.5593,0.5593,0.7500
2,0.5593,0.5593,0.7500
3,0.5593,0.5593,0.7500
4,0.5593,0.5593,0.7500
5,0.5593,0.5593,0.7500
6,0.5593,0.5593,0.7500
7,0.5593,0.5593,0.7500
8,0.5593,0.5593,0.7500
9,0.5593,0.5593,0.7500
10,0.5593,0.5593,0.7500
11,0.5593,0.5593,0.7500
12,0.5593,0.5593,0.7500
13,0.5593,0.5593,0.7500
14,0.5593,0.5593,0.7500
15,0.5593,0.5593,0.7500
16,0.5593,0.5593,0.7500
17,0.5593,0.5593,0.7500
18,0.5593,0.5593,0.7500
19,0.5593,0.5593,0.7500
20,0.5593,0.5593,0.7500
21,0.5593,0.5593,0.7500
22,0.5593,0.5593,0.7500
23,0.5593,0.5593,0.7500
24,0.5593,0.5593,0.7500
25,0.5593,0.5593,0.7500
26,0.5593,0.5593,0.7500
27,0.5593,0.5593,0.7500
28,0.5593,0.5593,0.7500
29,0.9818,0.9818,0.9818
30,0.9671,0.9671,0.9671
31,0.9667,0.9667,0.9667
32,0.9609,0.9609,0.9609
33,0.9605,0.9605,0.9605
34,0.9601,0.9601,0.9601
35,0.9596,0.9596,0.9596
36,0.9535,0.9535,0.9535
37,0.9530,0.9530,0.9530
38,0.9525,0.9525,0.9525
39,0.9520,0.9520,0.9520
40,0.9455,0.9455,0.9455
41,0.9450,0.9450,0.9450
42,0.9383,0.9383,0.9383
43,0.9376,0.9376,0.9376
44,0.9307,0.9307,0.9307
45,0.9300,0.9300,0.9300
46,0.9229,0.9229,0.9229
47,0.9156,0.9156,0.9156
48,0.9082,0.9082,0.9082
49,0.9007,0.9007,0.9007
50,0.8930,0.8930,0.8930
51,0.8784,0.8784,0.8784
52,0.8635,0.8635,0.8635
53,0.8483,0.8483,0.8483
54,0.8189,0.8189,0.8189
55,0.7889,0.7889,0.7889
56,0.7298,0.7298,0.7502
57,0.6409,0.6409,0.7502
58,0.4630,0.5001,0.7501
59,0.3000,0.5000,0.7500
